Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
SLC2A4RG,,SPOCK2,TMEM214,,,,,LINC00348,TIAF1
SLC26A1,,DHX16,GGTA1P,,,,,MIR4290HG,SLC31A2
FOXD2,,DAPL1,SPINT1-AS1,,,,,LOC101928476,CD22
SMIM2,,LINC00441,GPC4,,,,,PIGR,AMOTL2
CDC14B,,CTNND2,CALHM2,,,,,LINC01588,ZNF536
LOC101927657,,S100B,SCUBE3,,,,,OOEP,RASSF4
DEPDC4,,EGF,HOXD4,,,,,EFCAB8,PLEKHH1
GAFA3,,KCNK17,C1GALT1,,,,,LOC93429,COL9A2
SLC25A27,,LINC01338,EMILIN1,,,,,IL9R,RAPGEF3
HEATR1,,TSGA10IP,DDX60L,,,,,LINC01247,TMC6
EHMT1,,PSG1,MOCOS,,,,,ANO2,F5
PP14571,,UNC93A,MTHFD2,,,,,GPR142,COL9A3
KLLN,,RPL23AP87,MIR214,,,,,MS4A2,SOSTDC1
PRICKLE2-AS3,,LOC101928161,ZFP92,,,,,ALOX15,LSS
PP13439,,POTEE,RRAS,,,,,LINC01177,MYRF
PCSK6,,MIR548K,FAP,,,,,CNTN4-AS2,MIR92B
DNAH6,,MIR651,COL6A5,,,,,SH2D1B,MASP1
KRT78,,MIR548W,FAM196A,,,,,FOXE3,ABCA8
PDSS2,,MIR4759,PLBD1,,,,,KIF6,GFAP
SPRY4-IT1,,MIR3171,TSPO,,,,,LOC101928973,PLIN1
KIF25-AS1,,MIR7151,OXGR1,,,,,INSL4,PIGO
HSD17B3,,KIR3DL1,SOX6,,,,,KRT7,SEMA7A
ENTPD6,,CT45A9,SLC38A4,,,,,LOC285627,SLC13A3
CCM2L,,MIR4526,P3H1,,,,,PLCG2,WHRN
SLC3A1,,MIR4777,LURAP1L,,,,,SMIM9,HDAC11
TAS2R9,,MIR4531,FILIP1L,,,,,TESMIN,CERS2
MDM2,,MIR6081,TMEM26,,,,,LOC105372267,MTRNR2L8
TRIM8,,MIR582,MR1,,,,,LOC101927592,DNAH17
TERB2,,MIR7155,PROK2,,,,,LINC00410,KIF19
POLR3E,,MIR3135A,SIX2,,,,,LINC00668,NAV2-AS4
OR1I1,,MIR3120,LTBP3,,,,,NXF2B,FAM13C
MARVELD3,,MIR8485,CEBPB,,,,,TRIM60,MT1JP
UVSSA,,KRTAP12-1,VSIG10L,,,,,C1orf167,C10orf128
CHRNA10,,MIRLET7G,FBLN2,,,,,CSRP3,FOLH1
ARX,,MIR1912,OR2A1,,,,,SAMD7,CRB2
PPP1R12C,,MIR647,ANKRD30BL,,,,,APOBEC3H,ATP4B
CCDC37-AS1,,MIR4433B,KLF2,,,,,TGM5,LINC01792
TIMM17B,,MIR135A2,GBGT1,,,,,CLEC4C,C21orf2
DCAF4,,FAM90A7P,PIK3R1,,,,,MAGEA9B,GTPBP6
MOGAT1,,MIR548L,ADM,,,,,LINC01587,TFEB
CSN2,,SNURF,NBPF10,,,,,DIO2-AS1,LDLRAP1
GOLGA6L6,,HCG17,ATL3,,,,,LOC399886,AATK
CTAG1B,,MIR4473,FGL2,,,,,LOC101928326,CFAP126
MIR503HG,,TUBGCP5,CCL26,,,,,LOC100130849,PLEKHF1
KCNG3,,NF1P2,SCX,,,,,LOC100507657,PPIB
LACRT,,ADAM9,LINC00473,,,,,LOC105373537,SERPINA3
LIMS1,,LOC105374516,GC,,,,,CDH19,SLC12A4
SUCLA2-AS1,,LINC02203,RUNX1,,,,,SLFN12L,PHOSPHO1
LOC284898,,TP53I11,PCSK5,,,,,MUC3A,TMEM198B
LOC283194,,SOX3,SH3RF2,,,,,LINC00297,RNH1
LOC101926913,,DRAXIN,ADAMTS9,,,,,SNORA36A,ITGA2
RND3,,PPP1R1A,LINC00887,,,,,WFDC11,CERCAM
SIX3-AS1,,6-Sep,CLDN19,,,,,C3orf36,DTX4
TTTY1,,PAK1,ODF3L1,,,,,LINC00367,KIAA1755
ADARB2,,KIF21B,TGFA,,,,,LOC105376617,PLEKHB1
INO80D,,CPLX2,ANGPT4,,,,,LOC105373831,AASS
NEBL,,LHX5,NMI,,,,,ECT2L,PIK3C2B
EVI5L,,MAB21L2,LINC02044,,,,,LOC284788,ROGDI
IL1RL1,,TUBB4A,LOC100507156,,,,,LINC01427,ZFP57
LTBR,,PGM2L1,QRFPR,,,,,MYBPC3,TEKT4P2
TIGD5,,ATP1A3,CYTOR,,,,,LOC644669,EFNA1
RASSF8,,CACNA1H,CMKLR1,,,,,PGCP1,ANGPTL2
MYH14,,CAMKV,OPLAH,,,,,SIGLEC14,LMOD1
DOT1L,,STK26,SEC14L6,,,,,SLC28A3,LOC102724159
TMEM176A,,STMN2,TANC1,,,,,HRH4,ITGB4
LOC100129603,,CUX2,ROR1,,,,,CDH15,PLEKHG3
PLCD3,,MEGF6,SSC4D,,,,,PANX3,PXK
DCLK2,,BZW2,RASAL3,,,,,LINC01541,4-Sep
LSR,,SEMA3F,MAGIX,,,,,ZNF541,KEL
LOC101927723,,KIF26A,C9orf47,,,,,TMPRSS12,FAXDC2
NAV2,,DBX1,SH3PXD2A,,,,,LINC01266,TBC1D2
STK33,,SDC1,CCND1,,,,,GCSAML,PMP22
KCNIP4,,L1CAM,SCG2,,,,,FSHB,TP53TG5
TRPV1,,JUP,AEBP1,,,,,AP1M2,KSR1
ACTN3,,PDE1B,CALU,,,,,OSBPL10,OLIG1
DMBX1,,ID1,PAPPA-AS1,,,,,SDR16C5,F10
KIAA1324,,IER5L,CSMD1,,,,,ROPN1,SFTPC
PCDH9,,LBH,STOM,,,,,LOC151475,PIEZO2
TRIM36,,COL1A1,CCDC8,,,,,HSH2D,PSRC1
LOC101928255,,NTN4,KANK2,,,,,VWA2,TF
MUC4,,PAX7,GPER1,,,,,LOC286177,CTDSP1
MRGPRX2,,MFAP2,NBPF14,,,,,LOC283352,GSN-AS1
CYLC1,,MGC12916,APOBEC3F,,,,,EGFLAM-AS2,PVRIG
ARHGAP5,,POSTN,EML4,,,,,SLCO2A1,LGI4
ERICH1-AS1,,CD24,ACTR3C,,,,,LINC01581,S1PR5
LOC100505658,,TUBB3,ACADL,,,,,LOC339529,GPX3
TRHDE-AS1,,GDF15,STAT3,,,,,ACKR2,PYROXD2
TAS1R1,,PLK2,FURIN,,,,,LOC101926908,SOX8
PACRG,,MIR124-2HG,LAMB1,,,,,GUCY1A3,AGTRAP
AIM1L,,FAM60A,TLX1,,,,,LOC284294,GPR146
CCBE1,,EPB41,SERPINC1,,,,,TBC1D29,HID1
LOC100996385,,TES,CD274,,,,,LHCGR,CAPN3
FMNL2,,NKD2,COL5A2,,,,,ITGA1,C10orf90
C2CD4B,,PHF21B,TCEAL9,,,,,IL37,P2RX7
GTF2IRD1,,SHISA3,CRTAP,,,,,ACTC1,MVB12B
PTPN14,,BGN,NID1,,,,,LINC00862,RNF220
IRS1,,KC6,SH2D3A,,,,,ABI3BP,SERINC5
CALML5,,CELF3,GAS1,,,,,LOC541472,NIPAL4
SNED1,,COL12A1,MALRD1,,,,,ZNF385D-AS1,SPNS2
SHANK2,,SLC6A15,DCAF12L2,,,,,BHMG1,FAM124A
RTEL1,,ANKRD1,TMEM263,,,,,LINC01111,FREM1
PLA1A,,S100A4,MIR503,,,,,VWDE,CPB2-AS1
LOC100128198,,DCC,MUSK,,,,,LINC01182,VIPR2
PCDH11X,,IMPDH1,PLP2,,,,,LINC00626,PIAS4
ASB2,,DUSP4,NOTCH2,,,,,CD52,SMG1P5
LOC150596,,FST,ADCY7,,,,,PADI1,MYO15B
IL22RA1,,GREM2,HES1,,,,,LMOD3,TSPAN15
NTRK3,,SLC38A1,DAB2,,,,,ADTRP,MAPK8IP1
CES3,,BHLHE23,KCNE5,,,,,LOC105378614,GPRC5B
LOC286087,,SDK2,P3H3,,,,,ABCA9-AS1,B3GNT9
CELF3,,ADGRA2,ADAMTS4,,,,,SSX3,MYH7B
GNG11,,PENK,CAPN6,,,,,CACNA2D4,ZDHHC11
DLC1,,VEGFA,BAIAP2L1,,,,,LOC101929439,TUBB4B
IL17RB,,NR5A1,STARD13,,,,,CLEC1B,TGFB3
TRAF4,,ST6GAL1,VWA1,,,,,RGR,RNASE1
LOC728099,,HRC,CHST15,,,,,MYOCD,PCSK6
SRGAP1,,NEUROD4,TIMP2,,,,,LY86-AS1,UAP1L1
LOC102724611,,RGS10,NRROS,,,,,LOC101927661,CAPS
ZFYVE16,,ARRB1,ITGA1,,,,,CYP4A22,ENPP6
LTBP3,,LINGO1,PIWIL1,,,,,LOC100506175,TTC7A
RBM26-AS1,,POMC,TNRC6C-AS1,,,,,NPSR1-AS1,HIP1
PLAC4,,DOK4,SMAD6,,,,,LINC01360,ZIC2
LOC442028,,IMPA2,FGFR1,,,,,ABCC5-AS1,PLAC9P1
FNDC5,,NOL4L,DSE,,,,,CCDC26,FBN2
DKFZP564C152,,NEUROG1,SPTLC3,,,,,USP44,MVK
DGKE,,PIK3C2B,CCDC33,,,,,WTAPP1,SLC12A9
GCC1,,NKAIN1,IL1A,,,,,GRK1,PRR5L
WDR90,,PLK3,SIGLEC11,,,,,LINC00376,SEMA6A
SIRT2,,RAB3A,SRPX,,,,,ERICH4,POLR2F
WNT6,,EMB,PPP1R36,,,,,TLR10,BAIAP2L2
ZDHHC15,,LOC102724623,FBLIM1,,,,,SCHLAP1,HSD17B10
ZNF765,,SNCG,HRH1,,,,,SEC14L5,LAYN
NMBR,,KLHL1,RNF217,,,,,UROC1,CUEDC1
DPY19L1,,IGFL2,UTRN,,,,,ADAM7,APBB1
ABCC12,,SLC6A6,MMP11,,,,,LINC01538,SLC13A4
HOXB13,,SLC1A5,SPINT2,,,,,LOC105370616,COL4A5
SEC14L2,,SCRT2,FBN2,,,,,SIM1,PLXNB1
SGCD,,DIO3,FBLN1,,,,,DLEU7-AS1,KLRC4
ADGRF5,,5-Sep,COL16A1,,,,,CNR2,HDAC6
ITPKB-IT1,,WNT7B,CLDN23,,,,,CLDN4,TMEM98
OR5L2,,COL3A1,MGC20647,,,,,MIR143,CHST3
C22orf42,,LOXL2,EFNA1,,,,,LOC101927136,DAAM2
PRSS55,,P4HA2,PTGFRN,,,,,SEMA3E,TALDO1
ADAM2,,FGFBP3,FKBP9P1,,,,,MAGEA10,IFFO1
LRRC72,,P2RX3,PDK4,,,,,FLJ21408,NINL
FABP7,,TMC6,GADD45B,,,,,FAM209A,PUF60
JPH3,,IKZF1,SAMD4A,,,,,COL4A4,STAG3
FAM171A2,,SEMA7A,LOC100130476,,,,,KCNMB1,GTF3C5
BCAS4,,BMF,SYCE1,,,,,ST8SIA6,TMPRSS5
PCP2,,IGFBPL1,CYP7B1,,,,,PROSER2-AS1,NFASC
ERF,,BIN1,NEFH,,,,,ACTN3,ARHGAP22
HOXB7,,CPLX3,TM4SF19,,,,,ANXA3,BCAR1
USH1C,,TRIM48,VEGFA,,,,,TM4SF1,ITGA7
IPO9-AS1,,NREP,FBXO17,,,,,DNAH11,CPS1
GABRB2,,PAX3,SGK1,,,,,LOC101929541,FAHD2B
HBZ,,CDKN1A,TLCD2,,,,,LOC100996579,PIP
ADCY2,,LUM,SNHG18,,,,,WISP3,CLIP2
KCNRG,,RCOR2,TNFAIP8,,,,,NPR1,MOGS
CXCL14,,PLAGL1,CORIN,,,,,CPXM2,GALNT6
ZCCHC24,,SCRT1,NAP1L6,,,,,ADH4,MPP2
LINC00880,,GAL,QRFP,,,,,KCNQ1OT1,SLC5A11
LOC101928668,,IGFBP4,JAK3,,,,,LOC102546229,DOLPP1
GTF2I,,NRTN,ZDHHC14,,,,,C10orf53,RBP1
SMPDL3B,,AKT3,ANXA2,,,,,LOC101927701,FAM222A
CCDC158,,ICAM5,NEU4,,,,,LOC285095,LINC00639
LOC101928288,,PMAIP1,EMP3,,,,,MIR2117,TMEM144
ZSCAN10,,FOXP4,DENND2D,,,,,CYP11B1,ABHD14B
IFNW1,,THBS1,FLNB-AS1,,,,,HOTAIR,ENPP2
GPR161,,FN1,CD52,,,,,MUC17,CDPF1
ZNF626,,PRH1-PRR4,FRMD6,,,,,ANO3,NKAIN1
EPPK1,,DCN,LOC102724450,,,,,LOC102723766,HES6
TRIO,,PTGES,ICAM1,,,,,EGR3,FNTB
LINC01016,,HOXD12,SPSB1,,,,,ABCC3,MINDY1
FGF2,,COL6A3,MEOX1,,,,,KRT8,MYH14
ABCD4,,IGF2BP1,LCAT,,,,,MIR4474,DNM2
LHFPL3,,PPM1J,ARHGEF19,,,,,AICDA,CKLF-CMTM1
ZNF143,,XKR7,DAAM2,,,,,LIN28A,SSH3
TFB2M,,DKK2,EMILIN3,,,,,SLFN11,SLC14A1
GAL,,IGFL3,XKR8,,,,,DEFB105B,NUP210
TM9SF3,,COL1A2,RIN3,,,,,LOC284933,WFIKKN2
COL6A6,,ARG2,TGFB3-AS1,,,,,FBXW10,GALK1
GXYLT2,,PRKAR2B,FAM118A,,,,,LCN12,ZNF423
MAATS1,,CYBA,LIMA1,,,,,NEURL1-AS1,SH3BP4
MKRN2,,FTCD,DGKA,,,,,ZIM2-AS1,SCARNA17
SUB1,,SAMD5,LOC102724334,,,,,PGM5,CBR1
ASPM,,FGFRL1,IFI16,,,,,CCL19,SMIM5
PMFBP1,,PCSK9,TERC,,,,,IL17F,C10orf105
OR5V1,,KIAA0930,FBXO4,,,,,LOC105372751,NOTCH1
LOX,,COL5A1,SEMA3B,,,,,COL28A1,LOC101929163
KIAA1217,,GADD45A,ITGA10,,,,,C22orf34,TMEM139
GNB1L,,INA,MYC,,,,,C3orf67,NPC1
ADCY7,,ASPHD2,GRP,,,,,HYAL4,SLC45A2
LOC440792,,EBF3,ZC3HAV1L,,,,,LINC01333,LHPP
ZNRD1,,ISLR2,EEPD1,,,,,TNF,SLCO3A1
TAF6L,,SPTBN2,PRSS50,,,,,LIPC-AS1,SLC2A2
CYSRT1,,ADGRL2,GSTT2B,,,,,IGFL3,ALDH1A3
DBT,,SAMD11,KRT8,,,,,ITGAD,HRASLS5
LOC401068,,PKDCC,TNFAIP6,,,,,IL10,MOCS1
C19orf33,,RBFOX2,SSPN,,,,,CAPN8,C19orf71
LOC399884,,PCBP4,CHST14,,,,,ZNF99,CAPG
C20orf197,,FAM89A,GSTM5,,,,,LINC01505,PRDM8
CILP2,,HMGA2,C1GALT1C1L,,,,,ONECUT3,LRRC63
LOC283788,,FAM19A4,LOC105371824,,,,,SLC16A6,GPAT2
LHFPL1,,ITGA5,LINC01164,,,,,CXorf65,SCD
TDP1,,CXCL14,GGT5,,,,,GPA33,ULK4P1
ARHGEF7,,EFNB1,ZMAT3,,,,,LINC01568,LYSMD4
FA2H,,BEX5,PMEPA1,,,,,ARHGAP25,ENKD1
C8A,,ATP2A3,PDZD2,,,,,LOC105372566,PCED1A
PGF,,EFNA2,FAM83B,,,,,GRM8,SCAMP2
CCL16,,ACOT7,GOLGA8N,,,,,ANXA10,CADM4
LINC00856,,VWCE,WIPF1,,,,,PLSCR2,SNHG18
C7,,RBPMS2,SMC1B,,,,,HORMAD1,ZBTB39
PAGE4,,ANK1,SMIM10,,,,,WDR64,CNPY3
GPRIN1,,ACSL1,ARSE,,,,,CLRN1,FADS2
KSR1,,IGF2,ECE2,,,,,INSC,RECQL5
SASH1,,NEUROD1,TSPAN9,,,,,SNAI1,ZNF862
LOC100507073,,EDNRA,ADAMTS6,,,,,GBP4,HMGN3-AS1
TCP11L2,,EGFL7,AKAP4,,,,,LYZL4,NFATC1
HNRNPL,,CHST1,ECEL1P2,,,,,TTTY13,TMEM119
KLRC2,,NEUROG3,RAB44,,,,,TACSTD2,FAM53A
SIGLEC14,,ZNF311,CCDC129,,,,,TEX33,ARL17A
RPL23AP7,,SCUBE3,SLC9A7P1,,,,,SOST,AZGP1
,,NSG1,GBP5,,,,,SLC28A1,VSTM2B
,,PRRX2,GNA14,,,,,PLEKHG7,LINC01877
,,NDRG1,RBM43,,,,,BPESC1,FAM53B
,,LOXL1,CDC42BPG,,,,,SLC2A2,CLMN
,,ELAVL3,SNED1,,,,,CTLA4,PSMB8-AS1
,,PRMT8,H2AFJ,,,,,CD33,MTG1
,,POU2F2,F2RL2,,,,,KCNS3,PLCD3
,,IL11,MDFIC,,,,,IL31RA,ELMO1
,,SPINT2,LPAR1,,,,,LINC01108,B3GAT1
,,RPS6KA1,TBC1D2B,,,,,STYK1,LRRC37A2
,,MIR1247,RNF207,,,,,TMPRSS11BNL,MUTYH
,,SHOX2,EPB41L2,,,,,ART4,CYBA
,,VASH2,CACNA1C,,,,,KIR3DX1,GJC2
,,FZD5,TSHZ1,,,,,C3,PNPLA2
,,GPR176,FBN1,,,,,C1orf140,RBCK1
,,TESMIN,CD302,,,,,NCKAP1L,POMT2
,,PIM1,PRSS23,,,,,CA5A,ADAMTS4
,,RNF175,SH2D2A,,,,,SLC39A12-AS1,SGK1
,,ISLR,GOLGA6L10,,,,,ATP1A4,PIP4K2A
,,PHLDA2,HOXD3,,,,,MIR5689HG,HDAC5
,,ITGA11,LTBP1,,,,,LOC101927286,SLC26A6
,,MYRF,LOC79999,,,,,LOC101927702,LAIR1
,,MT1G,ERG,,,,,HCK,DOCK5
,,MYH1,FGB,,,,,ZG16,SOWAHD
,,OR11H12,ASTL,,,,,RNASE1,CRHBP
,,TMEM119,CLIC5,,,,,LINC01602,TCTA
,,BHLHE22,MGC12916,,,,,IL12A-AS1,LINC01878
,,TMEFF1,ABCA6,,,,,LOC440896,LAMB2
,,FOSL1,EFNA5,,,,,PGM5P2,KLHL21
,,UTS2,SPATS2L,,,,,TRPM4,NT5C
,,GLS,SLC22A1,,,,,CDC20B,TP73-AS1
,,RHOU,ARMS2,,,,,SLC27A2,SOX13
,,MRGPRF,CALML6,,,,,LINC01019,MAU2
,,SEMA3G,PLSCR1,,,,,LRFN2,TYRO3
,,SPNS2,IDUA,,,,,CES1,SYNE3
,,VSX2,OSTC,,,,,GGT3P,OTUD7A
,,LOC283731,PNMT,,,,,TLR2,NFIX
,,ENPP2,FAM110D,,,,,SHANK2-AS3,LDHD
,,LOC100507194,PTGIR,,,,,ABCA9,SMIM7
,,TRIM67,SMAGP,,,,,SGMS2,LINC01411
,,DDB2,GJA1,,,,,LOXL4,8-Mar
,,IP6K3,SHC1,,,,,RASGRP3,MAP6D1
,,AKAP2,GPSM3,,,,,GRHL3,TNC
,,FDFT1,CCDC158,,,,,SNORD14E,UNC93B1
,,CPLX1,MROH7-TTC4,,,,,LINC00924,SNX8
,,FMOD,DACT1,,,,,GLDN,ABL1
,,RPRML,TNS3,,,,,LVCAT1,C1QL1
,,NRN1,TENM1,,,,,ESM1,TECPR2
,,CYR61,EID3,,,,,CLPS,ABI3
,,ASIC2,TLE2,,,,,FANK1-AS1,OSBPL5
,,LGI2,ASS1,,,,,LMO7DN,METTL7B
,,KDELR3,LRRC43,,,,,SLAMF8,CAPN13
,,USP44,LOC101927752,,,,,LOC105378753,CEP295NL
,,ACTG2,EOGT,,,,,LOC105375431,DLL1
,,SH3GL3,LINC01587,,,,,KCNE1,RARRES3
,,LINC02069,CASP8,,,,,OR6X1,VANGL2
,,TNFRSF1B,PACSIN3,,,,,TMEM212,MCM7
,,EIF4EBP1,FGF18,,,,,LINC00501,COL18A1
,,TGFBI,SGMS2,,,,,IL26,SH3GLB2
,,VAT1,TNS2,,,,,CYP2C18,SLC25A29
,,DKK1,LINC00284,,,,,LOC101928696,BEST1
,,SH2D3C,LIMCH1,,,,,LOC101929626,ATP10B
,,PRR5,KCNJ2-AS1,,,,,LOC101929653,SOGA1
,,ZFHX3,SYDE1,,,,,HABP2,CSRP1
,,CARMIL2,ARSJ,,,,,SLC4A5,SOX2-OT
,,OLFM2,ALX3,,,,,TRAPPC3L,SHROOM4
,,FASN,SLC19A3,,,,,PMCHL2,KCNS3
,,TNNI1,SERPINA5,,,,,TAC4,VPS16
,,CD248,PRKCQ,,,,,LINC00624,NADSYN1
,,REM2,CHSY3,,,,,ALG1L2,RFFL
,,F11R,C15orf39,,,,,FAM19A3,TSPAN33
,,ID3,MDK,,,,,REM1,USH1C
,,SYT4,PODNL1,,,,,GBX1,HAGLR
,,IL11RA,ZBED6CL,,,,,LMNTD1,SREBF1
,,GDAP1L1,CD96,,,,,OR51B4,TMEM140
,,MFAP5,IL32,,,,,CRTAM,ZNF692
,,KLF10,DIAPH2,,,,,GAPT,PTPRU
,,FAM155B,RASSF8,,,,,LIPJ,TMEM129
,,H19,OMG,,,,,PRDM7,PMCHL2
,,CTSC,GRK5,,,,,BPIFB2,LOC101929116
,,GNG3,HTR7,,,,,KRT80,TMCC2
,,PIM3,MERTK,,,,,TFCP2L1,AGT
,,EPHB2,TMEM106A,,,,,OR2A20P,NDRG2
,,SULT4A1,SH3RF3,,,,,LINC00547,RALY
,,STXBP1,ZIM2,,,,,LOC101929023,PMF1
,,CCNG1,TRANK1,,,,,ARGFX,LGR5
,,ABRACL,LAPTM4A,,,,,LOC101928288,RRBP1
,,DLK1,FLNB,,,,,C12orf54,DHCR24
,,OAF,PLG,,,,,LINC01014,ARHGEF1
,,CDKN2D,RFX8,,,,,FAM231B,XRCC3
,,FAT4,BMP6,,,,,DMRT1,OR7C1
,,OGDHL,P3H2,,,,,GP5,HSPG2
,,DNAJC12,LYPD6B,,,,,C3orf30,PACS2
,,EFNA5,NEK6,,,,,WFDC8,TUBA1A
,,EBF2,POU2F3,,,,,LINC00399,TNS1
,,NEFL,MME,,,,,LOC101927839,LOC100287042
,,OR8J1,EPHB4,,,,,LINC00887,LOC171391
,,TEAD4,SEC16B,,,,,RUNX1,R3HCC1
,,STARD4,GPX8,,,,,KRT81,CSAD
,,PERP,C2CD4A,,,,,SOAT2,LITAF
,,FAM57B,ITPRIPL1,,,,,FOXE1,CPOX
,,CDKN1C,MGAT4EP,,,,,WNT10A,CRYAB
,,TBX4,GSG1L,,,,,ZNF705A,FEZ1
,,NBL1,APOL4,,,,,KIF19,LOC102724596
,,JAG2,RNF183,,,,,LINC01447,IRF5
,,HMGA1,MTRNR2L2,,,,,CCDC158,TTC23L
,,PTX3,NTRK1,,,,,HAO2,NTNG2
,,FZD1,SPACA3,,,,,TRPC6,SPSB1
,,CLN3,MDFI,,,,,HSD52,SRRT
,,SLC2A3,PDE8A,,,,,CDYL2,FERMT1
,,CD55,ARAP1,,,,,ANKRD33B,MGAM
,,ASNS,TNFSF9,,,,,GLRA4,MAN2A2
,,ACTL6B,ENDOD1,,,,,RHOXF2,ENTPD2
,,ADAMTS7,LYN,,,,,LINC01537,BGN
,,GRM2,MMP3,,,,,SSX7,TREH
,,PROSER2,DLX4,,,,,CYP4F8,PICK1
,,MAPT,ACSF2,,,,,ALB,JPT2
,,SMPD3,UPK3BL,,,,,LOC728040,CYTH1
,,SYNGR3,SEMA3G,,,,,LOC100507195,HPN
,,BACE2,TMEM54,,,,,FXYD4,ARAF
,,CPZ,SLC43A3,,,,,MEI4,TRPV5
,,B3GALT4,ADAMTSL1,,,,,DCST1,TJP2
,,PRKCD,AGMO,,,,,SH3TC1,TRPM6
,,RARRES2,ESPNL,,,,,CPN2,ARVCF
,,ELFN1,PHYHD1,,,,,FGL1,TAB1
,,LAMP5,PSD4,,,,,SNORD83A,SALL1
,,APELA,LYNX1,,,,,TPH2,MID1IP1
,,PCBP2-OT1,TAF7L,,,,,RNVU1-17,RHPN1
,,POU3F1,GSN,,,,,LOC101929199,LRRC24
,,EMILIN3,LCN9,,,,,AIM1,BACE1
,,ARHGEF16,PLSCR4,,,,,EPHA3,OR9A2
,,TAC1,ASPH,,,,,LOC105376955,TRADD
,,FZD10,FRMD7,,,,,CRACR2A,TMEM150A
,,TNMD,DIO2,,,,,LOC157273,GPD1
,,ACVRL1,SLC16A10,,,,,GJB7,SFRP1
,,FADS1,SERTAD4,,,,,HP09025,TMEM115
,,HOXA13,GXYLT1,,,,,SMC2-AS1,RHBDF2
,,TAGLN,AGT,,,,,GRAP2,ACTN4
,,P3H1,UNC5B-AS1,,,,,LOC105375929,TLE2
,,SERPINB7,THEMIS,,,,,LINC01519,MYO9B
,,CDH3,GYPE,,,,,MRC1,IFITM1
,,STC2,TREX2,,,,,LOC101927460,ADIPOR2
,,P4HA3,HS3ST3B1,,,,,LVCAT8,CXCR6
,,BCAM,REC8,,,,,KCTD19,EML3
,,GLIS1,VSTM5,,,,,MIPOL1,IPO13
,,TMEM200B,PLPP3,,,,,HCP5,TXNIP
,,LPCAT4,ANG,,,,,LOC101929584,C2orf40
,,CACNA2D2,ANXA11,,,,,CCDC38,SYNJ2
,,WNT3A,CROCC2,,,,,FCN3,GDPD2
,,NDUFA4L2,ACKR3,,,,,LINC01007,PGAP2
,,C1QTNF4,BNC2,,,,,IFNA2,PCDH9-AS2
,,MVP,LECT2,,,,,LOC105376276,GLTP
,,MTHFD2,C5orf63,,,,,PLEK2,CD9
,,OLFML1,AQP5,,,,,RHOXF1-AS1,INF2
,,PXDN,VASN,,,,,LOC101928333,KRT86
,,ECM1,FGD5,,,,,GBP7,UBA7
,,GIPR,MIA,,,,,LOC100130331,CNTNAP4
,,NNMT,SERPINB9,,,,,IL2RA,IRX1
,,MKNK2,RNF135,,,,,CPNE9,GLI4
,,KISS1R,MSRB3,,,,,LINC00857,RRNAD1
,,LBX1,PLAUR,,,,,CA1,MT1E
,,HOXD13,TBXA2R,,,,,CRX,CCDC142
,,LRP5L,VSIR,,,,,CORIN,TRIM47
,,IER3,LTBR,,,,,LY75,SMARCD2
,,TMEM151A,PARVA,,,,,JAK3,WDFY4
,,IL13RA2,REN,,,,,GPR55,SNRNP70
,,LAYN,RAMP2-AS1,,,,,SLC6A14,ALYREF
,,MME,MIR324,,,,,CCDC129,ATG2A
,,SMIM24,LAMB3,,,,,LOC105370802,GPATCH3
,,SERTAD4,WFDC1,,,,,GABRR3,DSCAML1
,,ATF3,DLX5,,,,,LOC101929486,ITPKB
,,ADAMTSL5,EPHX1,,,,,TNS4,C19orf48
,,PLXND1,SIX4,,,,,KCNA4,PCDH9-AS3
,,LOC100506563,SH3BP1,,,,,MIR4748,TNR
,,DAB2,TNNI1,,,,,LINC01243,VASH1
,,KLF6,COL26A1,,,,,LOC149950,LOC107985209
,,JAK3,MIR635,,,,,MIR3935,ATP6V1G2
,,HMGCLL1,SIGLEC10,,,,,AWAT1,TBCC
,,TRIB1,APOBEC3A,,,,,NXF4,SPATA3
,,HEYL,DACT2,,,,,FAM138B,HR
,,ART5,IFNLR1,,,,,CLEC12B,OCA2
,,HMCN1,TNFRSF18,,,,,C6orf25,LLGL2
,,ALPK2,COL22A1,,,,,HLA-DOA,PLOD3
,,SLC18A3,PLXDC2,,,,,LINC01047,DAPK2
,,GPR27,FAM205C,,,,,TRIM29,GMNC
,,UCK2,CILP,,,,,LOC101929897,NSUN5
,,DUSP8,ADGRG2,,,,,LOC105376671,LOC728673
,,COTL1,SELENOM,,,,,CEACAM8,BAHCC1
,,ZCCHC12,CEP295NL,,,,,CHRNA2,CAVIN1
,,CCND1,SFRP1,,,,,C10orf11,RASGRF1
,,TKT,SNAI1,,,,,LOC349160,CSF1R
,,ALDH1B1,LOC100505635,,,,,PRRG3,TSEN54
,,TNFAIP6,DOCK9,,,,,GHET1,SBNO2
,,PRRX1,VILL,,,,,TTTY12,KCNK10
,,KIAA1522,MIR541,,,,,LINC01468,IFRD2
,,ACVR2B,S1PR3,,,,,LOC339298,RGCC
,,RUNDC3B,LOC100996635,,,,,CDCP2,LOC151174
,,DUSP1,CCDC114,,,,,LINC01180,ITGB2
,,CRABP2,BICC1,,,,,MAP3K7CL,ADHFE1
,,HOXD10,BMP2,,,,,SNORD43,ARHGEF18
